City,Code,Type,Line,Station,Station-en
3010,413100613956,自行车,主城,傅厚岗7号,Fuhougang No.7
3010,413100613965,自行车,主城,鼓楼广场电信局西,West Gulou Square Telecommunications Bureau
3010,413100613977,自行车,主城,城建集团,Nanjing Urban Construction Group
3010,413100614046,自行车,主城,宁栖路邮政储蓄,"Ningqilu,Postal Savings Bank"
3010,413100614099,自行车,主城,仙林湖地铁站外,Outside Xianlinhu Metro Station
3010,413100623968,自行车,江宁,青年城北门,North Gate of Qingniancheng
3010,413100625446,自行车,江宁,机场S1佛城路2,"Airport Line S1,Fochenglu 2"
3010,413100686467,自行车,江北,南京国际健康城,Nanjing International Health City
3010,413100688703,自行车,江北,浦口国资,Pukou SASAC
3010,413100688706,自行车,江北,雨泉家园,Yuquan Jiayuan
3010,413100688730,自行车,江北,润泰花园东,East Runtai Huayuan
3010,413100688733,自行车,江北,天润城十六街区北,North 16th Block of Tianruncheng
